values,Centroid_Longitude,Centroid_Latitude,km,mpa_id,oceanmpa.trend_mean.8.5N
-1.399000168,-158.1932558,21.44502219,2.150457387,8172,0.030861676
0.941999912,-158.1093071,57.34399622,3.573009591,3627,0.043376766
-0.895999908,-158.1068615,21.59608994,3.721193037,8171,0.030861676
-1.150999069,-158.0850829,21.29840151,4.2029608,8773,0.030861676
-1.150999069,-158.0850773,21.29840558,4.203612328,1378,0.030861676
-1.052000046,-158.0802306,21.24775555,5.932650295,5101,0.030861676
-0.895999908,-158.0658115,21.64475247,6.500382195,8132,0.030861676
-0.633998871,-158.035845,21.68910576,2.220547598,1536,0.030861676
-1.100000381,-157.8772215,21.31229936,2.306248454,8169,0.030874915
-1.100000381,-157.8723022,21.32259701,3.451134492,8174,0.030874915
0.892000198,-157.850029,57.5145321,3.3648429,3629,0.040543385
-1.100000381,-157.8279316,21.28413224,4.948104297,8170,0.030874915
-1.100000381,-157.8249626,21.26756025,5.836360457,8133,0.030874915
-0.936000824,-157.8184265,21.25539007,5.922514878,8129,0.030874915
-0.789999008,-157.8110764,21.44297505,2.636197688,8173,0.030874915
-0.789999008,-157.7913699,21.43679949,2.394156583,2416,0.030874915
-0.789999008,-157.7913699,21.43679949,2.394156583,9215,0.030874915
-0.789999008,-157.7913699,21.43679949,2.394156583,9216,0.030874915
-0.789999008,-157.7888594,21.43074603,3.08081199,8143,0.030874915
-0.789999008,-157.7888541,21.43075015,3.080407714,5122,0.030874915
-1.027999878,-157.7478647,21.01883538,4.824479248,5127,0.030874915
-0.854000092,-157.7340258,21.23308735,3.830274616,5121,0.030874915
-1.079999924,-157.7249551,21.28273445,1.987710606,8130,0.030874915
-1.079999924,-157.7249498,21.28273859,1.987004943,5125,0.030874915
-0.631999969,-157.7149201,21.50069902,4.605563435,5109,0.030874915
-1.079999924,-157.6963506,21.27202112,2.512270873,1532,0.030874915
-1.079999924,-157.693404,21.26916327,2.94142044,8141,0.030874915
-0.710998535,-157.597876,21.3577336,3.402042355,8161,0.030874915
0.473999977,-157.5921538,56.041393,2.040435264,8611,0.038059864
-0.710998535,-157.5916667,21.3341667,5.703362781,5119,0.030874915
0.473999977,-157.5914288,56.04133558,2.085564694,4526,0.038059864
1.72300005,-157.5432056,58.13243209,0.831984614,3628,0.04238905
-1.207000732,-157.5025424,20.93310731,4.936957126,5128,0.030755827
-1.210000992,-157.4666279,20.97521677,2.065886825,8160,0.030755827
1.444000244,-157.33333,2.00000059,6.549517458,5935,0.031338979
1.444000244,-157.332993,2,6.52314535,5940,0.031347446
1.444000244,-157.332993,2.000000001,6.523145271,5939,0.031338979
1.444000244,-157.332993,2,6.52314535,5941,0.031347446
1.444000244,-157.330002,2.000000001,6.29357882,5942,0.031338979
-0.616001129,-157.1607837,21.27318074,4.238972799,5105,0.030874915
-1.060998917,-157.0295352,21.08157519,4.613222245,8177,0.030874915
-1.060998917,-157.0295352,21.08157517,4.613220106,5110,0.030874915
1.631999493,-156.993042,54.17659714,4.188912556,8673,0.036231063
-0.455999374,-156.966026,21.18644999,2.560174575,5367,0.030895915
-0.455999374,-156.9260475,21.1518454,7.117119098,1733,0.030895915
-0.455999374,-156.9246498,21.15464089,6.916387467,8716,0.030895915
-0.533000946,-156.9099868,21.20485396,3.647337259,8159,0.030895915
-1.524000168,-156.9026775,20.74040618,4.583365648,1533,0.030776469
-1.524000168,-156.9003604,20.73688174,4.127485154,8136,0.030776469
-1.524000168,-156.8877989,20.74225714,4.000547182,8162,0.030776469
-0.977998734,-156.8291666,20.99239962,5.432418196,5108,0.030776469
-1.184000015,-156.80699,20.90896742,4.099168718,3573,0.030776469
-1.184000015,-156.7500755,20.90777666,5.652952536,8700,0.030776469
-0.762001038,-156.6666631,21.08337152,6.332513138,8158,0.030895915
-0.770000458,-156.642432,21.0179681,3.196009962,1534,0.030895915
-0.770000458,-156.6395386,21.01470263,3.356082287,8139,0.030895915
-1.027000427,-156.6150029,20.49743565,4.471450692,8152,0.030776469
-1.167999268,-156.6107668,20.55034294,1.768695116,3572,0.030776469
-1.347000122,-156.4961622,20.63241171,4.02202566,8135,0.030776469
-0.688999176,-156.4656077,20.89538657,2.389972965,8147,0.030776469
-1.347000122,-156.4339804,20.6097316,3.050389105,1538,0.030776469
-1.347000122,-156.4311692,20.60654177,3.493359462,8131,0.030776469
-0.568000793,-156.4021458,21.03296149,2.978682839,5120,0.030895915
-0.871999741,-156.1011317,20.59802067,3.894651625,5111,0.030776469
-0.672000885,-156.0495051,20.86831847,1.101967278,8157,0.030776469
-1.651000977,-156.0307196,19.68082506,3.266009365,8717,0.030687815
-1.61700058,-156.0131222,19.64248495,3.566432945,1549,0.030687815
-1.381000519,-156.0123889,19.85915231,3.532517911,8148,0.030687815
-1.381000519,-156.0123889,19.85915231,3.532517911,5131,0.030687815
-1.61700058,-156.011198,19.64067652,3.636400115,8134,0.030687815
-1.61700058,-155.9974172,19.63953558,4.908311646,2417,0.030716566
-1.61700058,-155.9957812,19.63907809,5.054419269,8150,0.030716566
-1.370000839,-155.9682702,19.94447095,1.85822467,5115,0.030716566
-1.679000854,-155.9635283,19.49900393,4.555507755,5116,0.030716566
-1.534999847,-155.9629999,19.56163513,8.537013341,8175,0.030716566
-1.534999847,-155.9629999,19.56163511,8.537012764,5113,0.030716566
-1.679000854,-155.9607579,19.50141122,4.797261792,8145,0.030716566
-1.399999619,-155.9322911,19.8572843,3.360983404,8167,0.030716566
-1.399999619,-155.9322911,19.85728433,3.360981448,5114,0.030716566
-1.679000854,-155.9306383,19.48191488,3.912645059,1078,0.030716566
-1.679000854,-155.9264971,19.47681907,3.920167435,8138,0.030716566
-1.599000931,-155.9230549,19.33977576,5.388460877,5126,0.030716566
2.390001297,-155.91701,-5.617000844,4.658728564,5937,0.03047182
-1.701999664,-155.904605,20.17787608,6.642658433,1535,0.030807199
-1.701999664,-155.9021415,20.17490975,6.231502546,8137,0.030807199
-1.562000275,-155.8423625,19.97844285,4.078904677,2418,0.030716566
-1.562000275,-155.8389303,19.97611366,4.256992123,8140,0.030716566
-1.562000275,-155.8329127,19.98489696,5.29856222,1537,0.030716566
-1.562000275,-155.8301537,19.98170901,5.359672027,8142,0.030716566
-1.562000275,-155.8301489,19.98171344,5.360349584,5130,0.030716566
-1.785999298,-155.8259189,20.03260586,5.225283703,8176,0.030807199
-1.785999298,-155.8259189,20.03260582,5.225284561,5112,0.030807199
-1.785999298,-155.8211629,20.02772183,5.833951324,8732,0.030807199
-0.696001053,-155.7441866,18.95970805,3.77344255,5106,0.030653359
-0.49600029,-155.6461651,18.88595827,2.538548597,8154,0.030653359
-0.788999557,-155.6009495,20.25494039,4.792380776,8156,0.030807199
1.246999741,-155.4125128,55.90000663,3.634210089,8621,0.035937496
-0.975999832,-155.3333,19.50001874,31.82140579,5880,0.030716566
-0.975999832,-155.08384,19.73550338,5.26240529,2413,0.030716566
-0.934000015,-155.0726075,19.73345638,4.277265227,8144,0.030716566
-0.910999298,-155.0429984,19.86586226,1.025071661,5102,0.030716566
-0.913000107,-154.9371018,19.67078137,4.729988136,8155,0.030758286
2.424999237,-154.9369,-4.010700048,4.184698477,5936,0.030669818
-0.913000107,-154.9304186,19.6790218,4.37732292,5117,0.030758286
-0.767999649,-154.8191595,19.48608635,4.222900763,8168,0.030758286
1.25,-154.66667,-16.53300178,4.54460184,5943,0.027627861
0.556999683,-154.5887824,56.52838313,2.666765359,3625,0.035469908
1.893000126,-154.5751161,59.17284089,17.01583226,4259,0.039101526
1.325000763,-154.53333,-15.81000014,2.224927196,6928,0.027841682
0.552000046,-154.2674997,56.39253576,2.453189047,8629,0.035469908
0.552000046,-154.2674853,56.39252929,2.45315499,4516,0.035469908
-0.058000088,-154.2301343,59.08616344,4.493576742,1559,0.039101526
1.099000454,-153.6156746,55.82347921,3.585720772,7550,0.034508824
0.153999805,-153.3913022,59.15248696,3.195343229,7545,0.037734061
-0.173000336,-152.9083822,59.36569435,2.155375732,7540,0.037239887
0.316999912,-152.7686758,57.8845927,1.728278863,7556,0.034016121
0.085000038,-152.6091133,59.54113224,0.897464366,8522,0.037239887
-0.146999836,-152.5146265,58.07847391,4.391651089,332,0.034193035
